GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
practica-calificada-2-cubicles,default,ProfesorTC,6,9,0,0,1,4,1,2,1,2
practica-calificada-2-cubicles,default,Administrativo,15,0,0,0,5,0,3,0,3,0
practica-calificada-2-cubicles,default,Teacher,0,12,0,0,0,4,0,1,0,1
practica-calificada-2-cubicles,default,ProfesorTP,12,0,0,0,5,0,3,0,3,0
practica-calificada-2-cubicles,default,Student,33,0,4,0,10,0,5,0,2,0
practica-calificada-2-cubicles,default,Principal,4,283,1,29,2,60,2,21,1,7
practica-calificada-2-cubicles,default,Pair,0,15,0,0,0,6,0,3,0,3
